"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,0,95,-13.2712655444695
12.5,0,96,-13.2262305986209
12.5,0,97,-13.1476388227148
12.5,0,98,-13.0417223444891
12.5,0,99,-12.914842438271
12.5,0,100,-12.7733211447257
12.5,0,101,-12.6233190538218
12.5,0,102,-12.4707577829483
12.5,0,103,-12.3212821020027
12.5,0,104,-12.1802549587059
12.5,0,105,-12.0527784316294
12.5,0,106,-11.9437343996055
12.5,0,107,-11.8578400383165
12.5,0,108,-11.7997148343525
12.5,0,109,-11.7739574744121
12.5,0,110,-11.7852326748537
12.5,0,111,-11.8383698230859
12.5,0,112,-11.9384773686474
12.5,0,113,-12.0910795127904
12.5,0,114,-12.3022853688633
12.5,0,115,-12.579006182486
12.5,0,116,-12.9292447643984
12.5,0,117,-13.3624954549173
12.5,0,118,-13.8903173704382
12.5,0,119,-14.5271876898918
12.5,0,120,-15.2918249788362
12.5,0,121,-16.20933930017
12.5,0,122,-17.3149239106194
12.5,0,123,-18.6606412677951
12.5,0,124,-20.3290453924576
12.5,0,125,-22.4640092799425
12.5,0,126,-25.3538600693688
12.5,0,127,-29.7309661956119
12.5,0,128,-38.8212877899027
12.5,0,129,-40.6792836319166
12.5,0,130,-30.6769848340101
12.5,0,131,-26.3116384434295
12.5,0,132,-23.5597902115207
12.5,0,133,-21.599749665253
12.5,0,134,-20.1188795211262
12.5,0,135,-18.9653628861559
12.5,0,136,-18.0559353938621
12.5,0,137,-17.3429785792243
12.5,0,138,-16.8007365536201
12.5,0,139,-16.4190985868824
12.5,0,140,-16.2009779435943
12.5,0,141,-16.1619571853996
12.5,0,142,-16.3321860174389
12.5,0,143,-16.7617530935218
12.5,0,144,-17.5330665857431
12.5,0,145,-18.79027410691
12.5,0,146,-20.8196046424941
12.5,0,147,-24.3374814278759
12.5,0,148,-32.4093495260652
12.5,0,149,-34.4447214769746
12.5,0,150,-23.4171558510777
12.5,0,151,-18.3731465074661
12.5,0,152,-15.045200183135
12.5,0,153,-12.5960273713054
12.5,0,154,-10.716722296372
12.5,0,155,-9.26449372859246
12.5,0,156,-8.168082671915
12.5,0,157,-7.39506668374829
12.5,0,158,-6.93994637886457
12.5,0,159,-6.82227242159429
12.5,0,160,-7.09333877927948
12.5,0,161,-7.85692137860547
12.5,0,162,-9.32584377902902
12.5,0,163,-12.0065761519394
12.5,0,164,-17.6406267903062
12.5,0,165,-34.8962175252648
12.5,0,166,-14.1536608174643
12.5,0,167,-7.93190506232953
12.5,0,168,-4.00055401036683
12.5,0,169,-1.09775949572536
12.5,0,170,1.19531332366761
12.5,0,171,3.07027975943828
12.5,0,172,4.63087820734183
12.5,0,173,5.93943727529957
12.5,0,174,7.03607779458553
12.5,0,175,7.94783528750982
12.5,0,176,8.69343816237326
12.5,0,177,9.2859909656055
12.5,0,178,9.73455321888591
12.5,0,179,10.0450886591685
12.5,0,180,10.2210258936998
12.5,180,-180,10.2210258936998
12.5,180,-179,10.0450886591685
12.5,180,-178,9.73455321888591
12.5,180,-177,9.2859909656055
12.5,180,-176,8.69343816237326
12.5,180,-175,7.94783528750982
12.5,180,-174,7.03607779458553
12.5,180,-173,5.93943727529957
12.5,180,-172,4.63087820734183
12.5,180,-171,3.07027975943829
12.5,180,-170,1.19531332366761
12.5,180,-169,-1.09775949572536
12.5,180,-168,-4.00055401036683
12.5,180,-167,-7.93190506232952
12.5,180,-166,-14.1536608174643
12.5,180,-165,-34.8962175252648
12.5,180,-164,-17.6406267903062
12.5,180,-163,-12.0065761519394
12.5,180,-162,-9.32584377902901
12.5,180,-161,-7.85692137860546
12.5,180,-160,-7.09333877927947
12.5,180,-159,-6.82227242159429
12.5,180,-158,-6.93994637886457
12.5,180,-157,-7.39506668374828
12.5,180,-156,-8.168082671915
12.5,180,-155,-9.26449372859246
12.5,180,-154,-10.716722296372
12.5,180,-153,-12.5960273713054
12.5,180,-152,-15.045200183135
12.5,180,-151,-18.3731465074661
12.5,180,-150,-23.4171558510777
12.5,180,-149,-34.4447214769747
12.5,180,-148,-32.4093495260651
12.5,180,-147,-24.3374814278758
12.5,180,-146,-20.8196046424941
12.5,180,-145,-18.79027410691
12.5,180,-144,-17.5330665857431
12.5,180,-143,-16.7617530935218
12.5,180,-142,-16.3321860174389
12.5,180,-141,-16.1619571853996
