"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,180,-175,-2.87059614337868
12.5,180,-174,-3.06663201411964
12.5,180,-173,-3.27661986397577
12.5,180,-172,-3.50062985981929
12.5,180,-171,-3.73872131531191
12.5,180,-170,-3.9909396595023
12.5,180,-169,-4.25731271874729
12.5,180,-168,-4.53784617430007
12.5,180,-167,-4.83251803375949
12.5,180,-166,-5.14127192807346
12.5,180,-165,-5.46400901785008
12.5,180,-164,-5.80057826512091
12.5,180,-163,-6.15076480249675
12.5,180,-162,-6.51427611586144
12.5,180,-161,-6.89072575713368
12.5,180,-160,-7.2796143317712
12.5,180,-159,-7.68030757820422
12.5,180,-158,-8.09201149609782
12.5,180,-157,-8.51374471707371
12.5,180,-156,-8.94430868161664
12.5,180,-155,-9.38225672916247
12.5,180,-154,-9.82586396039478
12.5,180,-153,-10.2731007079033
12.5,180,-152,-10.7216136257949
12.5,180,-151,-11.1687196732383
12.5,180,-150,-11.6114193929248
12.5,180,-149,-12.0464364911371
12.5,180,-148,-12.470290281382
12.5,180,-147,-12.8794054647953
12.5,180,-146,-13.2702595321957
12.5,180,-145,-13.6395617807287
12.5,180,-144,-13.9844503216699
12.5,180,-143,-14.302686224946
12.5,180,-142,-14.5928194639101
12.5,180,-141,-14.8543018093595
12.5,180,-140,-15.0875282654706
12.5,180,-139,-15.2938000159446
12.5,180,-138,-15.4752152070039
12.5,180,-137,-15.6345054645281
12.5,180,-136,-15.7748427965157
12.5,180,-135,-15.8996423273394
12.5,180,-134,-16.0123820434596
12.5,180,-133,-16.1164535816338
12.5,180,-132,-16.2150504406069
12.5,180,-131,-16.311093602473
12.5,180,-130,-16.4071902385622
12.5,180,-129,-16.5056189770369
12.5,180,-128,-16.6083346852335
12.5,180,-127,-16.7169862766276
12.5,180,-126,-16.832942153362
12.5,180,-125,-16.9573191498629
12.5,180,-124,-17.0910120150401
12.5,180,-123,-17.2347214469396
